scenario,attachment_size_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,wall_clock_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,tracked_facts,error
growing,50,3,1,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51476,51348,2,0,0,11033,283,0.001825,3702,5784,none,default,True,True,,,
growing,50,3,2,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51466,51348,4,0,0,20434,316,0.003255,7252,10313,none,default,True,True,True,Nimbus,
growing,50,3,3,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51457,51348,6,0,0,29766,330,0.004663,7227,9521,none,default,True,True,True,Nimbus | RFQ workflow,
growing,50,3,4,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51456,51348,8,0,0,39114,312,0.006054,8889,14731,none,default,False,True,True,Nimbus | RFQ workflow | Okta,
growing,50,3,5,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51456,51348,10,0,0,48426,304,0.007446,4305,11344,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,50,3,6,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51470,51348,12,0,0,57751,311,0.008849,13643,17393,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,50,3,7,5b856410-e0eb-4f60-9150-b1de95b0b9a6,51469,51348,12,0,781,67086,294,0.010239,22617,31890,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,100,1,1,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60129,60000,2,0,0,12538,337,0.002083,4704,8230,none,default,True,True,,,
growing,100,1,2,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60119,60000,4,0,0,23468,377,0.003746,5867,9474,none,default,True,True,True,Nimbus,
growing,100,1,3,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60110,60000,6,0,0,34377,368,0.005377,6062,12731,none,default,True,True,True,Nimbus | RFQ workflow,
growing,100,1,4,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60109,60000,8,0,0,91653,710,0.014174,26280,28639,none,default,False,True,True,Nimbus | RFQ workflow | Okta,
growing,100,1,5,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60109,60000,10,0,0,56125,360,0.008635,13719,19247,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,100,1,6,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60123,60000,12,0,0,67010,374,0.010276,20904,23545,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,100,1,7,29c9a2a3-48b2-4a48-a4c9-f8ad5003a378,60122,60000,12,0,723,77913,380,0.011915,29174,37374,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,100,2,1,5cbaab7b-4497-4e07-908b-96f23bb79864,60129,60000,2,0,0,12538,309,0.002066,3512,5853,none,default,True,True,,,
growing,100,2,2,5cbaab7b-4497-4e07-908b-96f23bb79864,60119,60000,4,0,0,23459,316,0.003708,4276,10356,none,default,True,True,True,Nimbus,
growing,100,2,3,5cbaab7b-4497-4e07-908b-96f23bb79864,60110,60000,6,0,0,34296,317,0.005335,10027,12753,none,default,False,True,True,Nimbus | RFQ workflow,
growing,100,2,4,5cbaab7b-4497-4e07-908b-96f23bb79864,60109,60000,8,0,0,45148,120,0.006844,4826,7567,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,100,2,5,5cbaab7b-4497-4e07-908b-96f23bb79864,60109,60000,10,0,0,55773,327,0.008562,19679,22625,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,100,2,6,5cbaab7b-4497-4e07-908b-96f23bb79864,60123,60000,12,0,0,66623,327,0.01019,36231,38956,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,100,2,7,5cbaab7b-4497-4e07-908b-96f23bb79864,60122,60000,12,0,830,77482,334,0.011823,14642,19881,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,100,3,1,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60129,60000,2,0,0,12538,306,0.002064,4872,7144,none,default,True,True,,,
growing,100,3,2,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60119,60000,4,0,0,23415,368,0.003733,7048,13719,none,default,True,True,True,Nimbus,
growing,100,3,3,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60110,60000,6,0,0,34299,346,0.005352,13502,17009,none,default,False,True,True,Nimbus | RFQ workflow,
growing,100,3,4,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60109,60000,8,0,0,45172,350,0.006986,8820,11345,none,default,False,True,True,Nimbus | RFQ workflow | Okta,
growing,100,3,5,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60109,60000,10,0,0,56027,401,0.008645,11940,15762,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,100,3,6,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60123,60000,12,0,0,66948,347,0.01025,31626,34907,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,100,3,7,a866a4a1-7b82-44c5-9ce9-a0c1896c7bbf,60122,60000,12,0,805,77818,391,0.011907,17099,28197,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
pivot,0,1,1,48485a1d-73fd-4b28-b636-e98faf56e557,79,0,2,0,0,2082,280,0.00048,3730,5247,none,default,True,True,,,
pivot,0,1,2,48485a1d-73fd-4b28-b636-e98faf56e557,63,0,4,0,0,11067,903,0.002202,10402,12037,none,default,False,True,True,Helios,
pivot,0,1,3,48485a1d-73fd-4b28-b636-e98faf56e557,63,0,6,0,0,2820,306,0.000607,3946,5385,none,default,True,True,True,Helios | QR code,
pivot,0,1,4,48485a1d-73fd-4b28-b636-e98faf56e557,51,0,8,0,0,3180,282,0.000646,3738,5015,none,default,True,True,True,Helios | QR code | Node.js,
pivot,0,1,5,48485a1d-73fd-4b28-b636-e98faf56e557,67,0,10,0,0,3533,275,0.000695,4455,6317,none,default,True,True,True,Helios | QR code | Node.js | offer notifications,
pivot,0,1,6,48485a1d-73fd-4b28-b636-e98faf56e557,64,0,12,0,0,3861,294,0.000756,3680,5362,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter,
pivot,0,1,7,48485a1d-73fd-4b28-b636-e98faf56e557,50,0,12,0,808,4204,287,0.000803,3506,7986,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter | Flutter,
pivot,0,2,1,69974136-ba30-4c94-906a-b6179bde3be1,79,0,2,0,0,2082,325,0.000507,5219,6602,none,default,True,True,,,
pivot,0,2,2,69974136-ba30-4c94-906a-b6179bde3be1,63,0,4,0,0,2490,321,0.000566,3541,5645,none,default,True,True,True,Helios,
pivot,0,2,3,69974136-ba30-4c94-906a-b6179bde3be1,63,0,6,0,0,2876,323,0.000625,4120,6024,none,default,True,True,True,Helios | QR code,
pivot,0,2,4,69974136-ba30-4c94-906a-b6179bde3be1,51,0,8,0,0,3253,296,0.000666,4270,5644,none,default,True,True,True,Helios | QR code | Node.js,
pivot,0,2,5,69974136-ba30-4c94-906a-b6179bde3be1,67,0,10,0,0,3612,314,0.00073,3485,5098,none,default,True,True,True,Helios | QR code | Node.js | offer notifications,
pivot,0,2,6,69974136-ba30-4c94-906a-b6179bde3be1,64,0,12,0,0,9524,661,0.001825,8659,10428,none,default,False,True,True,Helios | QR code | Node.js | offer notifications | Flutter,
pivot,0,2,7,69974136-ba30-4c94-906a-b6179bde3be1,50,0,12,0,610,4354,315,0.000842,4196,8256,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter | Flutter,
pivot,0,3,1,2ba462ce-4ba9-4af4-811d-88c024dc25d9,79,0,2,0,0,2082,247,0.000461,3117,4620,none,default,True,True,,,
pivot,0,3,2,2ba462ce-4ba9-4af4-811d-88c024dc25d9,63,0,4,0,0,2417,283,0.000532,3322,5066,none,default,True,True,True,Helios,
pivot,0,3,3,2ba462ce-4ba9-4af4-811d-88c024dc25d9,63,0,6,0,0,2770,317,0.000606,4612,6256,none,default,True,True,True,Helios | QR code,
pivot,0,3,4,2ba462ce-4ba9-4af4-811d-88c024dc25d9,51,0,8,0,0,3162,330,0.000672,3952,5790,none,default,True,True,True,Helios | QR code | Node.js,
pivot,0,3,5,2ba462ce-4ba9-4af4-811d-88c024dc25d9,67,0,10,0,0,3561,327,0.00073,4096,5946,none,default,True,True,True,Helios | QR code | Node.js | offer notifications,
pivot,0,3,6,2ba462ce-4ba9-4af4-811d-88c024dc25d9,64,0,12,0,0,3942,319,0.000783,4060,5918,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter,
pivot,0,3,7,2ba462ce-4ba9-4af4-811d-88c024dc25d9,50,0,12,0,461,4318,321,0.00084,5329,8654,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter | Flutter,
pivot,5,1,1,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5319,5180,2,0,0,2996,327,0.000646,4261,5751,none,default,True,True,,,
pivot,5,1,2,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5303,5180,4,0,0,4335,312,0.000837,3107,4465,none,default,True,True,True,Helios,
pivot,5,1,3,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5303,5180,6,0,0,5624,317,0.001034,3581,5979,none,default,True,True,True,Helios | QR code,
pivot,5,1,4,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5291,5180,8,0,0,6920,338,0.001241,4026,5833,none,default,True,True,True,Helios | QR code | Node.js,
pivot,5,1,5,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5307,5180,10,0,0,8236,326,0.001431,10519,12487,none,default,False,True,True,Helios | QR code | Node.js | offer notifications,
pivot,5,1,6,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5304,5180,12,0,0,9519,315,0.001617,4456,6299,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter,
pivot,5,1,7,1e74bb51-a693-4ecb-83c5-9c527d4f2aef,5290,5180,12,0,1021,10797,313,0.001807,3723,8139,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter | Flutter,
pivot,5,2,1,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5319,5180,2,0,0,2996,300,0.000629,3787,5192,none,default,True,True,,,
pivot,5,2,2,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5303,5180,4,0,0,4293,301,0.000825,3038,4295,none,default,True,True,True,Helios,
pivot,5,2,3,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5303,5180,6,0,0,5578,300,0.001017,3183,4771,none,default,True,True,True,Helios | QR code,
pivot,5,2,4,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5291,5180,8,0,0,6859,295,0.001206,3498,5270,none,default,True,True,True,Helios | QR code | Node.js,
pivot,5,2,5,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5307,5180,10,0,0,8147,316,0.001412,3685,5223,none,default,True,True,True,Helios | QR code | Node.js | offer notifications,
pivot,5,2,6,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5304,5180,12,0,0,9430,321,0.001607,3584,5027,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter,
pivot,5,2,7,4ef6f386-77a5-472c-bf0d-281ba2707d0c,5290,5180,12,0,877,10714,296,0.001785,3467,8311,none,default,True,True,True,Helios | QR code | Node.js | offer notifications | Flutter | Flutter,
